#noun
mythical creature|神话生物|ˈmɪθɪkl ˈkriːtʃə
skin infection|皮肤感染|skɪn ɪnˈfekʃn
height decline|身高下降|haɪt dɪˈklaɪn
daily routine|日常惯例|ˈdeɪli ruːˈtiːn
annual budget|年度预算|ˈænjuəl ˈbʌdʒɪt
social conflict|社会冲突|ˈsəʊʃl ˈkɒnflɪkt
climate adaptation|气候适应|ˈklaɪmət ˌædæpˈteɪʃn
abstract speech|抽象语言|ˈæbstrækt spiːtʃ
concrete detail|具体细节|ˈkɒŋkriːt ˈdiːteɪl
strong motivation|强烈动机|strɒŋ ˌməʊtɪˈveɪʃn
delayed reward|延迟回报|dɪˈleɪd rɪˈwɔːd
research funding|研究资金|rɪˈsɜːtʃ ˈfʌndɪŋ
scientific safeguard|科学保障|ˌsaɪənˈtɪfɪk ˈseɪfɡɑːd
misleading result|误导性结果|ˌmɪsˈliːdɪŋ rɪˈzʌlt
consistent result|一致结果|kənˈsɪstənt rɪˈzʌlt
pension savings|养老金储蓄|ˈpenʃn ˈseɪvɪŋz
clinical trial|临床试验|ˈklɪnɪkl ˈtraɪəl
charitable organization|慈善组织|ˈtʃærɪtəbl ˌɔːɡənaɪˈzeɪʃn
government grant|政府拨款|ˈɡʌvənmənt ɡrɑːnt
zealous supporter|狂热支持者|ˈzeləs səˈpɔːtə
private hobby|个人爱好|ˈpraɪvət ˈhɒbi
nuclear research|核研究|ˈnjuːkliə rɪˈsɜːtʃ
rock collector|岩石收藏家|rɒk kəˈlektə
objective study|客观研究|əbˈdʒektɪv ˈstʌdi
invaluable funding|宝贵资金|ɪnˈvæljuəbl ˈfʌndɪŋ
new trade agreement|新的贸易协议|njuː treɪd əˈɡriːmənt
virtual reality|虚拟现实|ˈvɜːtʃuəl riˈæləti
instant reward|即时回报|ˈɪnstənt rɪˈwɔːd
paradoxical result|矛盾结果|ˌpærəˈdɒksɪkl rɪˈzʌlt
hard-wired response|本能反应|ˌhɑːd ˈwaɪəd rɪˈspɒns
psychological effect|心理效应|ˌsaɪkəˈlɒdʒɪkl ɪˈfekt
policy modification|政策修改|ˈpɒləsi ˌmɒdɪfɪˈkeɪʃn
compelling argument|有力论点|kəmˈpelɪŋ ˈɑːɡjəmənt
legal restriction|法律限制|ˈliːɡl rɪˈstrɪkʃn
nobility privilege|贵族特权|nəʊˈbɪləti ˈprɪvəlɪdʒ
dense research|密集研究|dens rɪˈsɜːtʃ
intellectual profoundness|思想深度|ˌɪntəˈlektʃuəl prəˈfaʊndnəs
social status|社会地位|ˈsəʊʃl ˈsteɪtəs
persuasive skill|说服技巧|pəˈsweɪsɪv skɪl
extreme weather|极端天气|ɪkˈstriːm ˈweðə
academic attainment|学术成就|ˌækəˈdemɪk əˈteɪnmənt
imitation behaviors|模仿行为|ˌɪmɪˈteɪʃn bɪˈheɪvjəz
deliberate choice|深思选择|dɪˈlɪbərət tʃɔɪs
literary masterpiece|文学杰作|ˈlɪtərəri ˈmɑːstəpiːs
local community|本地社区|ˈləʊkl kəˈmjuːnəti
mental well-being|心理健康|ˈmentl ˌwel ˈbiːɪŋ
cultural diversity|文化多样性|ˈkʌltʃərəl daɪˈvɜːsəti
emotional attachment|情感依恋|ɪˈməʊʃənl əˈtætʃmənt
global supply chain|全球供应链|ˈɡləʊbl səˈplaɪ tʃeɪn
e-commerce platform|电商平台|ˈiː kɒmɜːs ˈplætfɔːm
vocational training|职业培训|vəʊˈkeɪʃənl ˈtreɪnɪŋ
explicit instruction|明确指示|ɪkˈsplɪsɪt ɪnˈstrʌkʃn
renewable energy|可再生能源|rɪˈnjuːəbl ˈenədʒi
workplace inclusion|职场包容性|ˈwɜːkpleɪs ɪnˈkluːʒn
contract term|合同条款|ˈkɒntrækt tɜːm
rapid urbanization|快速城市化|ˈræpɪd ˌɜːbənaɪˈzeɪʃn
economic globalization|经济全球化|ˌiːkəˈnɒmɪk ˌɡləʊbəlaɪˈzeɪʃn
advanced technology|先进技术|ədˈvɑːnst tekˈnɒlədʒi
industrial automation|工业自动化|ɪnˈdʌstriəl ˌɔːtəˈmeɪʃn
venture investment|风险投资|ˈventʃə ɪnˈvestmənt
vaccine injection|疫苗接种|ˈvæksiːn ɪnˈdʒekʃn
violent incident|暴力事件|ˈvaɪələnt ˈɪnsɪdənt
obesity epidemic|肥胖流行|əʊˈbiːsəti ˌepɪˈdemɪk
crop yield|农作物产量|krɒp jiːld
autonomous vehicle|自动驾驶汽车|ɔːˈtɒnəməs ˈviːəkl
#supplement
clinic|n. 诊所|ˈklɪnɪk
clinical|adj. 临床的|ˈklɪnɪkl
trial|n. 试验；审判|ˈtraɪəl
conduct a trial|进行试验|kənˈdʌkt ə ˈtraɪəl
court trial|法庭审判|kɔːt ˈtraɪəl
charity|n. 慈善|ˈtʃærəti
charitable|adj. 慈善的|ˈtʃærɪtəbl
organization|n. 组织|ˌɔːɡənaɪˈzeɪʃn
organize|v. 组织|ˈɔːɡənaɪz
grant|n. 拨款|ɡrɑːnt
zeal|n. 热情|ziːl
zealous|adj. 热情的；狂热的|ˈzeləs
support|n. 支持；v. 支持|səˈpɔːt
supporter|n. 支持者|səˈpɔːtə
object|n. 物体|ˈɒbdʒɪkt
UFO|n. 不明飞行物|ˌjuː ef ˈəʊ
unidentified flying object|不明飞行物|ˌʌnaɪˈdentɪfaɪd ˈflaɪɪŋ ˈɒbdʒɪkt
identify|v. 确定；识别；找出|aɪˈdentɪfaɪ
objective|adj. 客观的|əbˈdʒektɪv
subjective|adj. 主观的|səbˈdʒektɪv
obese|adj. 肥胖的|əʊˈbiːs
obesity|n. 肥胖|əʊˈbiːsəti
epidemic|n. 流行病|ˌepɪˈdemɪk
#lesson1
illusory|adj. 虚幻的|ɪˈluːsəri
plastic|n. 塑料；adj. 可塑的|ˈplæstɪk
permanent|adj. 永久的；永恒的|ˈpɜːmənənt
permanence|n. 永久；持久|ˈpɜːmənəns
eternal|adj. 永恒的；永远的|ɪˈtɜːnl
eternity|n. 永恒；极长的一段时间|ɪˈtɜːnəti
barely|adv. 勉强才；仅仅；刚刚|ˈbeəli
bare|adj. 赤裸的；荒芜的；空的；v. 使暴露|beə
mere|adj. 仅仅；只不过；n. 小湖；池塘|mɪə
merely|adv. 只不过；仅仅|ˈmɪəli
sole|adj. 唯一的；仅有的；n. 脚掌；鞋底|səʊl
solely|adv. 仅仅|ˈsəʊlli
accident|n. 事故；意外；偶然|ˈæksɪdənt
accidental|adj. 意外的；偶然发生的|ˌæksɪˈdentl
incident|n. 事件；冲突|ˈɪnsɪdənt
incidental|adj. 附带的；次要的；n. 附带的次要事情|ˌɪnsɪˈdentl
incidentally|adv. 顺便提一下；偶然地|ˌɪnsɪˈdentəli
incidence|n. 发生率|ˈɪnsɪdəns
occasion|n. 某次；特殊场合；时机|əˈkeɪʒn
occasional|adj. 偶尔的；有时发生的|əˈkeɪʒənl
occasionally|adv. 偶尔；有时|əˈkeɪʒənəli
casual|adj. 随意的；非正式的；临时的|ˈkæʒuəl
opportunity|n. 机会；时机|ˌɒpəˈtjuːnəti
chance|n. 机会；可能性；风险；v. 冒险；偶然发生|tʃɑːns
occur|v. 发生；存在；出现|əˈkɜː
occurrence|n. 发生的事；事件；发生；存在|əˈkʌrəns
curb|v. 控制；限制；抑制；n. 控制；马路牙子|kɜːb
spot|n. 地点；污渍；斑点；v. 发现；看到|spɒt
potential|adj. 潜在的；n. 潜力；可能性；电势|pəˈtenʃl
potentiality|n. 潜力；潜在的可能性|pəˌtenʃiˈæləti
#lesson2
scent|n. 香味；气味；香水；v. 闻到；预感到|sent
poison|n. 毒药；毒物；v. 毒害；下毒|ˈpɔɪzn
poisonous|adj. 有毒的；恶毒的|ˈpɔɪzənəs
transmit|v. 传送；发送；传播；传导|trænzˈmɪt
transmission|n. 传输；传播；节目播送|trænzˈmɪʃn
transmitter|n. 发射机；发射台；传播者|trænzˈmɪtə
omit|v. 省略；遗漏；未做|əˈmɪt
omission|n. 遗漏；疏忽；省略|əˈmɪʃn
mission|n. 任务；使命；职责；宗旨|ˈmɪʃn
dismiss|v. 不予考虑；解雇；开除；解散|dɪsˈmɪs
dismissal|n. 解雇；开除；不予理会；驳回|dɪsˈmɪsl
missile|n. 导弹；飞弹；投掷物|ˈmɪsaɪl
emit|v. 发出；散发（光、热、声音等）|ɪˈmɪt
emission|n. 排放物；排放|ɪˈmɪʃn
submit|v. 提交；递呈；主张；顺从；屈服|səbˈmɪt
submission|n. 屈服；投降；提交的文件或建议|səbˈmɪʃn
submissive|adj. 顺从的；听话的|səbˈmɪsɪv
admit|v. 承认；准许进入；接纳|ədˈmɪt
admission|n. 准许加入；承认；招认；门票钱|ədˈmɪʃn
admittance|n. 进入权；进入|ədˈmɪtəns
admittedly|adv. 诚然；无可否认地|ədˈmɪtɪdli
committee|n. 委员会|kəˈmɪti
commit|v. 犯（罪、错）；承诺；投入|kəˈmɪt
